Date;Open;High;Low;Close
12.09.2018;105430;105430;105430;105430
12.09.2018;105460;105460;105410;105410
12.09.2018;105400;105400;105360;105360
12.09.2018;105350;105350;105350;105350
12.09.2018;105370;105370;105350;105360
12.09.2018;105360;105360;105360;105360
12.09.2018;105380;105390;105380;105390
12.09.2018;105390;105390;105390;105390
12.09.2018;105390;105390;105390;105390
12.09.2018;105350;105370;105350;105370
12.09.2018;105360;105360;105320;105320
